Fund Name,Category,Inception Date,Class,Type,Offer,Repurchase,NAV,Validity Date,"Front-end Load %","Back-end Load %","Contingent Load %",Trustee Code
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,121.1677,117.8388,117.8388,2016-12-05,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,122.3107,118.9504,118.9504,2016-12-06,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,122.7776,119.4044,119.4044,2016-12-07,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,123.5669,120.172,120.172,2016-12-08,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,125.3012,121.8587,121.8587,2016-12-09,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,126.9467,123.459,123.459,2016-12-13,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,128.1546,124.6337,124.6337,2016-12-14,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,128.4175,124.8894,124.8894,2016-12-15,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,128.9111,125.3694,125.3694,2016-12-16,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,129.6362,126.0746,126.0746,2016-12-19,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,130.3872,126.805,126.805,2016-12-20,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,129.9207,126.3513,126.3513,2016-12-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,128.7803,125.2422,125.2422,2016-12-22,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,128.3633,124.8367,124.8367,2016-12-23,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,128.5337,125.0024,125.0024,2016-12-26,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,129.0747,125.5285,125.5285,2016-12-27,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,130.4747,126.8901,126.8901,2016-12-28,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,130.9172,127.3204,127.3204,2016-12-29,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,131.1233,127.5208,127.5208,2016-12-30,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.554,130.8573,130.8573,2017-01-03,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.2811,130.5919,130.5919,2017-01-04,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.418,130.725,130.725,2017-01-05,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.2663,131.55,131.55,2017-01-06,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.0504,131.34,131.34,2017-01-09,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.5061,130.8107,130.8107,2017-01-10,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.0243,132.2872,132.2872,2017-01-11,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.0087,133.2445,133.2445,2017-01-12,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.2447,132.5015,132.5015,2017-01-13,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,135.2654,131.5491,131.5491,2017-01-16,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.3699,130.6782,130.6782,2017-01-17,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,133.8875,130.2091,130.2091,2017-01-18,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.9536,131.2459,131.2459,2017-01-19,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.1287,132.3887,132.3887,2017-01-20,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.5138,133.7358,133.7358,2017-01-23,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.4764,133.6994,133.6994,2017-01-24,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.9008,133.1396,133.1396,2017-01-25,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,138.2493,134.4511,134.4511,2017-01-26,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.5679,133.7884,133.7884,2017-01-27,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.6219,130.9233,130.9233,2017-01-30,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,134.1561,130.4703,130.4703,2017-01-31,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.1126,132.3731,132.3731,2017-02-01,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.8784,133.1178,133.1178,2017-02-02,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,136.8512,133.0914,133.0914,2017-02-03,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.0337,133.2689,133.2689,2017-02-06,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,137.6533,133.8714,133.8714,2017-02-07,-,-,-,CDC
